统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-23,专题,氪大事 | 为了保住同伙，AI有多癫？,2026-04-15,专题,专题|AI|氪大事|为了保住同伙|有多癫,专题|氪大事|为了保住同伙|有多癫,信息更新,AI技术发展与应用,AI技术发展与应用方向出现信息更新信号，重点涉及专题、氪大事；代表事件为《氪大事 | 为了保住同伙，AI有多癫？》。,专题 AI技术发展与应用|氪大事 AI技术发展与应用|AI AI技术发展与应用|AI技术发展与应用 信息更新,https://36kr.com/video/3766585318896386
2026-04-23,专题,于东来和魏建军，两个“最轴”的老板“约会”了,2026-04-14,专题,专题|于东来和魏建军|两个|最轴|的老板|约会,专题|于东来和魏建军|两个|最轴|的老板,信息更新,企业战略与人事动态,企业战略与人事动态方向出现信息更新信号，重点涉及专题、于东来和魏建军；代表事件为《于东来和魏建军，两个“最轴”的老板“约会”了》。,专题 企业战略与人事动态|于东来和魏建军 企业战略与人事动态|两个 企业战略与人事动态|企业战略与人事动态 信息更新,https://36kr.com/video/3764840757948933
2026-04-23,专题,AI盗脸风波：当技术“越界” 如何守住自己的数字人格？,2026-04-13,专题,专题|AI|盗脸风波|当技术|越界|如何守住自己的数字人格,专题|盗脸风波|当技术|越界|如何守住自己的数字人格,信息更新,AI技术发展与应用,AI技术发展与应用方向出现信息更新信号，重点涉及专题、盗脸风波；代表事件为《AI盗脸风波：当技术“越界” 如何守住自己的数字人格？》。,专题 AI技术发展与应用|盗脸风波 AI技术发展与应用|AI AI技术发展与应用|AI技术发展与应用 信息更新,https://36kr.com/video/3765091828527880
2026-04-23,专题,小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜36氪独家,2026-04-17,专题,专题|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长|氪独家,专题|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长,信息更新,企业战略与人事动态,企业战略与人事动态方向出现信息更新信号，重点涉及专题、CTO；代表事件为《小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜36氪独家》。,专题 企业战略与人事动态|CTO 企业战略与人事动态|小米汽车重磅任命 企业战略与人事动态|企业战略与人事动态 信息更新,https://36kr.com/p/3770688595214857
2026-04-23,专题,「美股例外」何时休？,2026-04-14,专题,专题|美股例外|何时休,专题|美股例外|何时休,信息更新,投资市场与区域经济,投资市场与区域经济方向出现信息更新信号，重点涉及专题、美股例外；代表事件为《「美股例外」何时休？》。,专题 投资市场与区域经济|美股例外 投资市场与区域经济|何时休 投资市场与区域经济|投资市场与区域经济 信息更新,https://36kr.com/p/3766410231726855
2026-04-23,专题,创业老炮vs00后，谁是下一代“一人公司”的标准样板,2026-04-13,专题,专题|vs00|创业老炮|谁是下一代|一人公司|的标准样板,专题|创业老炮|谁是下一代|一人公司|的标准样板,信息更新,创投生态与商业模式,创投生态与商业模式方向出现信息更新信号，重点涉及专题、创业老炮；代表事件为《创业老炮vs00后，谁是下一代“一人公司”的标准样板》。,专题 创投生态与商业模式|创业老炮 创投生态与商业模式|vs00 创投生态与商业模式|创投生态与商业模式 信息更新,https://36kr.com/p/3764728843289089
2026-04-23,专题,《明末》团队解散背后，国产单机究竟还缺什么？,2026-04-15,专题,专题|明末|团队解散背后|国产单机究竟还缺什么,专题|明末|团队解散背后|国产单机究竟还缺什么,信息更新,产业观察与深度分析,产业观察与深度分析方向出现信息更新信号，重点涉及专题、明末；代表事件为《《明末》团队解散背后，国产单机究竟还缺什么？》。,专题 产业观察与深度分析|明末 产业观察与深度分析|团队解散背后 产业观察与深度分析|产业观察与深度分析 信息更新,https://36kr.com/p/3766718158324489
2026-04-23,专题,野人先生崔渐为：“网红”标签对我们不公平丨厚雪专访,2026-04-13,专题,专题|野人先生崔渐为|网红|标签对我们不公平丨厚雪专,专题|野人先生崔渐为|网红|标签对我们不公平丨厚雪专,信息更新,产业观察与深度分析,产业观察与深度分析方向出现信息更新信号，重点涉及专题、野人先生崔渐为；代表事件为《野人先生崔渐为：“网红”标签对我们不公平丨厚雪专访》。,专题 产业观察与深度分析|野人先生崔渐为 产业观察与深度分析|网红 产业观察与深度分析|产业观察与深度分析 信息更新,https://36kr.com/p/3765076875117314
2026-04-23,专题,半年融资近2亿，他要用AI发球机器人解决全球1亿人的训练难题｜硬氪专访,2026-04-14,专题,专题|AI|半年融资近|他要用|发球机器人解决全球|亿人的训练难题|硬氪专访,专题|半年融资近|他要用|发球机器人解决全球|亿人的训练难题,投融资,AI技术发展与应用,AI技术发展与应用方向出现投融资信号，重点涉及专题、半年融资近；代表事件为《半年融资近2亿，他要用AI发球机器人解决全球1亿人的训练难题｜硬氪专访》。,专题 AI技术发展与应用|半年融资近 AI技术发展与应用|AI AI技术发展与应用|AI技术发展与应用 投融资,https://36kr.com/p/3764953900990977
2026-04-23,专题,智能体“军团”进入临床试验，北大校友四个月融了2亿美金、估值翻6倍,2026-04-13,专题,专题|智能体|军团|进入临床试验|北大校友四个月融了|亿美金|估值翻,专题|智能体|军团|进入临床试验|北大校友四个月融了,信息更新,AI技术发展与应用,AI技术发展与应用方向出现信息更新信号，重点涉及专题、智能体；代表事件为《智能体“军团”进入临床试验，北大校友四个月融了2亿美金、估值翻6倍》。,专题 AI技术发展与应用|智能体 AI技术发展与应用|军团 AI技术发展与应用|AI技术发展与应用 信息更新,https://36kr.com/p/3757975636050695
2026-04-23,活动,FBIF2026食品饮料创新论坛及FBIF展览,2026-04-23,活动,活动|FBIF2026|FBIF|食品饮料创新论坛及|展览|时间|地点|杭州,活动|FBIF2026|FBIF|食品饮料创新论坛及|展览,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、FBIF2026；代表事件为《FBIF2026食品饮料创新论坛及FBIF展览》。,活动 行业活动与展会|FBIF2026 行业活动与展会|FBIF 行业活动与展会|行业活动与展会 信息更新,https://www.foodtalks.cn/fbif/2026
2026-04-23,活动,AttraX「春潮·Spring｜深圳黑客松」,2026-04-23,活动,活动|AttraX|Spring|春潮|深圳黑客松|时间|地点|深圳,活动|AttraX|Spring|春潮|深圳黑客松,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、AttraX；代表事件为《AttraX「春潮·Spring｜深圳黑客松」》。,活动 行业活动与展会|AttraX 行业活动与展会|Spring 行业活动与展会|行业活动与展会 信息更新,https://mp.weixin.qq.com/s/mFfKdnAooLOfzDOLiq8YRg
2026-04-23,活动,云智思享会 ·干活吧，AGENT！,2026-04-23,活动,活动|AGENT|云智思享会|干活吧|时间|地点|北京|主题,活动|AGENT|云智思享会|干活吧|时间,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、AGENT；代表事件为《云智思享会 ·干活吧，AGENT！》。,活动 行业活动与展会|AGENT 行业活动与展会|云智思享会 行业活动与展会|行业活动与展会 信息更新,https://36kr.com/sign-up-activity/1843
2026-04-23,活动,科技与美学 2026亿邦新竞争力品牌大会,2026-04-23,活动,活动|科技与美学|亿邦新竞争力品牌大会|时间|地点|上海|已结束,活动|科技与美学|亿邦新竞争力品牌大会|时间|地点,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、科技与美学；代表事件为《科技与美学 2026亿邦新竞争力品牌大会》。,活动 行业活动与展会|科技与美学 行业活动与展会|亿邦新竞争力品牌大会 行业活动与展会|行业活动与展会 信息更新,https://www.ebrun.com/meeting/202601/4430.html
2026-04-23,活动,第六届CHWE出海网全球跨境电商展（深圳）春季展,2026-04-23,活动,活动|深圳|CHWE|第六届|出海网全球跨境电商展|春季展|时间|地点,活动|深圳|CHWE|第六届|出海网全球跨境电商展,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、深圳；代表事件为《第六届CHWE出海网全球跨境电商展（深圳）春季展》。,活动 行业活动与展会|深圳 行业活动与展会|CHWE 行业活动与展会|行业活动与展会 信息更新,https://hdxu.cn/1DVuw
2026-04-23,活动,第七届中关村硬科技嘉年华——星物种首发开放麦,2026-04-23,活动,活动|第七届中关村硬科技嘉年华|星物种首发开放麦|时间|地点|北京|主题|未来的现场实验,活动|第七届中关村硬科技嘉年华|星物种首发开放麦|时间|地点,信息更新,行业活动与展会,行业活动与展会方向出现信息更新信号，重点涉及活动、第七届中关村硬科技嘉年华；代表事件为《第七届中关村硬科技嘉年华——星物种首发开放麦》。,活动 行业活动与展会|第七届中关村硬科技嘉年华 行业活动与展会|星物种首发开放麦 行业活动与展会|行业活动与展会 信息更新,https://www.huodongxing.com/event/7852857232800
2026-04-23,活动,融中第十五届中国资本年会暨大虹桥科创投资大会,2026-04-23,活动,活动|融中第十五届中国资本年会|暨大虹桥科创投资大会|时间|地点|上海|已结束,活动|融中第十五届中国资本年会|暨大虹桥科创投资大会|时间|地点,投融资,行业活动与展会,行业活动与展会方向出现投融资信号，重点涉及活动、融中第十五届中国资本年会；代表事件为《融中第十五届中国资本年会暨大虹桥科创投资大会》。,活动 行业活动与展会|融中第十五届中国资本年会 行业活动与展会|暨大虹桥科创投资大会 行业活动与展会|行业活动与展会 投融资,https://7152049675429.huodongxing.com/event/7841451569600
