统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-22,专题,氪大事 | 为了保住同伙，AI有多癫？,2026-04-15,专题,专题|AI|氪大事|为了保住同伙|有多癫,专题|氪大事|为了保住同伙|有多癫,信息更新,人工智能与前沿技术,人工智能与前沿技术方向出现信息更新信号，重点涉及专题、氪大事；代表事件为《氪大事 | 为了保住同伙，AI有多癫？》。,专题 人工智能与前沿技术|氪大事 人工智能与前沿技术|AI 人工智能与前沿技术|人工智能与前沿技术 信息更新,https://36kr.com/video/3766585318896386
2026-04-22,专题,于东来和魏建军，两个“最轴”的老板“约会”了,2026-04-14,专题,专题|于东来和魏建军|两个|最轴|的老板|约会,专题|于东来和魏建军|两个|最轴|的老板,信息更新,企业战略与商业观察,企业战略与商业观察方向出现信息更新信号，重点涉及专题、于东来和魏建军；代表事件为《于东来和魏建军，两个“最轴”的老板“约会”了》。,专题 企业战略与商业观察|于东来和魏建军 企业战略与商业观察|两个 企业战略与商业观察|企业战略与商业观察 信息更新,https://36kr.com/video/3764840757948933
2026-04-22,专题,AI盗脸风波：当技术“越界” 如何守住自己的数字人格？,2026-04-13,专题,专题|AI|盗脸风波|当技术|越界|如何守住自己的数字人格,专题|盗脸风波|当技术|越界|如何守住自己的数字人格,信息更新,人工智能与前沿技术,人工智能与前沿技术方向出现信息更新信号，重点涉及专题、盗脸风波；代表事件为《AI盗脸风波：当技术“越界” 如何守住自己的数字人格？》。,专题 人工智能与前沿技术|盗脸风波 人工智能与前沿技术|AI 人工智能与前沿技术|人工智能与前沿技术 信息更新,https://36kr.com/video/3765091828527880
2026-04-22,专题,小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜36氪独家,2026-04-17,专题,专题|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长|氪独家,专题|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长,信息更新,汽车与智能制造,汽车与智能制造方向出现信息更新信号，重点涉及专题、CTO；代表事件为《小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜36氪独家》。,专题 汽车与智能制造|CTO 汽车与智能制造|小米汽车重磅任命 汽车与智能制造|汽车与智能制造 信息更新,https://36kr.com/p/3770688595214857
2026-04-22,专题,「美股例外」何时休？,2026-04-14,专题,专题|美股例外|何时休,专题|美股例外|何时休,信息更新,投资与资本市场,投资与资本市场方向出现信息更新信号，重点涉及专题、美股例外；代表事件为《「美股例外」何时休？》。,专题 投资与资本市场|美股例外 投资与资本市场|何时休 投资与资本市场|投资与资本市场 信息更新,https://36kr.com/p/3766410231726855
2026-04-22,专题,创业老炮vs00后，谁是下一代“一人公司”的标准样板,2026-04-13,专题,专题|vs00|创业老炮|谁是下一代|一人公司|的标准样板,专题|创业老炮|谁是下一代|一人公司|的标准样板,信息更新,企业战略与商业观察,企业战略与商业观察方向出现信息更新信号，重点涉及专题、创业老炮；代表事件为《创业老炮vs00后，谁是下一代“一人公司”的标准样板》。,专题 企业战略与商业观察|创业老炮 企业战略与商业观察|vs00 企业战略与商业观察|企业战略与商业观察 信息更新,https://36kr.com/p/3764728843289089
2026-04-22,专题,《明末》团队解散背后，国产单机究竟还缺什么？,2026-04-15,专题,专题|明末|团队解散背后|国产单机究竟还缺什么,专题|明末|团队解散背后|国产单机究竟还缺什么,信息更新,企业战略与商业观察,企业战略与商业观察方向出现信息更新信号，重点涉及专题、明末；代表事件为《《明末》团队解散背后，国产单机究竟还缺什么？》。,专题 企业战略与商业观察|明末 企业战略与商业观察|团队解散背后 企业战略与商业观察|企业战略与商业观察 信息更新,https://36kr.com/p/3766718158324489
2026-04-22,专题,野人先生崔渐为：“网红”标签对我们不公平丨厚雪专访,2026-04-13,专题,专题|野人先生崔渐为|网红|标签对我们不公平丨厚雪专,专题|野人先生崔渐为|网红|标签对我们不公平丨厚雪专,信息更新,企业战略与商业观察,企业战略与商业观察方向出现信息更新信号，重点涉及专题、野人先生崔渐为；代表事件为《野人先生崔渐为：“网红”标签对我们不公平丨厚雪专访》。,专题 企业战略与商业观察|野人先生崔渐为 企业战略与商业观察|网红 企业战略与商业观察|企业战略与商业观察 信息更新,https://36kr.com/p/3765076875117314
2026-04-22,专题,半年融资近2亿，他要用AI发球机器人解决全球1亿人的训练难题｜硬氪专访,2026-04-14,专题,专题|AI|半年融资近|他要用|发球机器人解决全球|亿人的训练难题|硬氪专访,专题|半年融资近|他要用|发球机器人解决全球|亿人的训练难题,投融资,人工智能与前沿技术,人工智能与前沿技术方向出现投融资信号，重点涉及专题、半年融资近；代表事件为《半年融资近2亿，他要用AI发球机器人解决全球1亿人的训练难题｜硬氪专访》。,专题 人工智能与前沿技术|半年融资近 人工智能与前沿技术|AI 人工智能与前沿技术|人工智能与前沿技术 投融资,https://36kr.com/p/3764953900990977
2026-04-22,专题,智能体“军团”进入临床试验，北大校友四个月融了2亿美金、估值翻6倍,2026-04-13,专题,专题|智能体|军团|进入临床试验|北大校友四个月融了|亿美金|估值翻,专题|智能体|军团|进入临床试验|北大校友四个月融了,信息更新,人工智能与前沿技术,人工智能与前沿技术方向出现信息更新信号，重点涉及专题、智能体；代表事件为《智能体“军团”进入临床试验，北大校友四个月融了2亿美金、估值翻6倍》。,专题 人工智能与前沿技术|智能体 人工智能与前沿技术|军团 人工智能与前沿技术|人工智能与前沿技术 信息更新,https://36kr.com/p/3757975636050695
